GAME_ID,PLAYER_ID,TEAM_ID,Actual Assists,Expected Assists,Actual Points from Assists,Expected Points from Assists,Actual Points,Expected Points
21500620,2594,1610612737,2,1.2076143858121384,5,2.790009857438638,5,6.288349298
21600584,201571,1610612753,2,3.8634639896991665,5,10.033896493777103,4,7.275948534
21600079,1627739,1610612750,4,3.405815125627868,9,7.203630251255736,4,6.501484624
21500657,201962,1610612740,4,2.1700004157078863,11,5.58861321822789,14,8.891586143
21500756,200797,1610612763,1,0.4987012987012987,2,0.9974025974025974,4,3.056585366
41600312,201142,1610612744,3,3.52876902038136,9,10.164878489715509,14,11.07940044
21501152,203148,1610612757,1,1.215954415954416,2,2.847863247863248
21600602,2548,1610612741,3,2.6059731331553673,7,5.878401962513266,19,22.31700609
21501142,1626196,1610612748,3,2.08179017518609,7,4.910893229012008,11,8.788122763
21600751,203109,1610612738,1,1.6758169934640523,2,3.674509803921569,14,13.65918936
21600970,203914,1610612743,1,0.7334865317190853,3,2.200459595157256,7,9.964344717
21500894,201943,1610612753,6,4.5006242357614905,14,10.479281298870877,12,10.86616918
21500642,201568,1610612743,0,0.7083759372869802,0,2.1251278118609407,13,16.43857092
21500494,203457,1610612755,1,0.94887121886121,2,1.89774243772242,12,11.39358139
21500469,204038,1610612752,3,2.8487545676081734,6,5.697509135216347,2,0.877192982
21600342,203484,1610612765,8,4.629479923371991,19,10.217175295344692,8,12.21242578
21500231,2550,1610612741,2,1.2341801983787843,5,2.8016937300909017,9,6.206048223
21500815,1626192,1610612757,0,0.5,0,1.5,0,1
21601155,1626163,1610612766,3,2.470459695729472,7,6.151485297101072,9,6.916716978
21500162,201587,1610612766,0,2.5328358568833216,0,6.399984482016984,3,7.686143408
21600319,202695,1610612759,4,1.9925409620702712,10,5.113365858098364,24,15.30929973
21500045,203939,1610612742,2,1.264781242446217,5,3.324800580130529,8,7.942587597
21600208,203486,1610612757,5,4.1437441794649885,11,9.288747939369642,8,5.105493679
21500849,200768,1610612761,8,6.211545336640265,17,13.830581683708433,15,16.1856062
21601128,202732,1610612739,1,1.16486013986014,3,3.49458041958042,0,1
21600402,201156,1610612747,2,2.219009104052474,4,4.438018208104948,32,20.66398377
21600963,203496,1610612755,3,2.1283245294713042,7,5.584626337207716,24,19.30283685
21600351,201142,1610612744,1,2.044385240112687,3,5.710419164858144,17,14.7724851
21500040,203096,1610612738,2,1.7137316535015927,4,3.839561605679934,10,12.0324444
21600825,101135,1610612759,1,1.9948980055408154,2,4.7975300033649795,8,5.51764194
21501178,201584,1610612766,3,2.3218355045251116,7,6.184185844194964,6,4.45786857
21601097,201975,1610612753,1,0.75,2,1.5,2,3.065691838
21500526,203095,1610612753,4,4.384020815382723,9,10.613583488796555,11,14.07842126
21600439,204020,1610612748,6,3.5564032602073894,15,9.084929232585162,14,13.85422154
21501123,203094,1610612753,3,2.554796741790106,7,5.879075946060879,8,9.001015254
21500680,202390,1610612764,0,0.6237300435413643,0,1.2474600870827286,12,10.85955956
21500661,201943,1610612765,4,2.9184375576525543,9,6.191713824982527,5,4.566770175
21500470,203118,1610612737,1,0.8934676434676434,3,2.6804029304029307,5,5.446444965
21500446,203484,1610612765,2,1.6141557215105646,4,3.532822721216618,6,11.32680073
21500209,201155,1610612754,4,2.2093713042721115,9,4.915230629327443,5,5.213780124
21500596,201961,1610612751,1,1.3074652777777778,2,2.973263888888889,10,10.58480923
21500154,2730,1610612745,3,2.173115760085875,7,5.397980686294054,4,5.574407212
21600659,201952,1610612754,8,7.030398198682229,21,17.206971289397153,13,11.45710591
21500624,200755,1610612746,3,2.1990435120650185,7,4.74776719470573,31,22.97627805
21500645,202391,1610612766,4,3.933566045733014,9,9.361207420742032,5,5.486426637
21500962,2747,1610612739,2,1.747892004865263,5,4.243676014595789,14,10.95279614
21500048,204038,1610612752,2,0.7620862110026196,4,1.5241724220052393,4,4.380528194
41600302,201567,1610612739,1,0.3026634382566586,3,0.9079903147699757,18,15.3371385
21601120,202714,1610612762,0,1.0927157419056666,0,2.556628238375228,11,7.442725899
21601042,201229,1610612758,1,0.3783783783783784,2,0.7567567567567568,8,4.129343566
21600530,203901,1610612753,5,8.128250557140573,11,19.369856174981354,13,13.27317224
21500635,203083,1610612765,2,1.7722158363822804,5,4.1704432605762465,4,4.883666232
21601015,203500,1610612760,2,1.0576825424543481,6,2.785191369618311,10,9.30062466
21600249,1626167,1610612754,3,2.2683936069188952,8,5.3832629138699755,17,16.06391548
21500053,202703,1610612741,2,1.506461050270129,5,3.8068621222114927,5,11.23149093
21501070,1626245,1610612741,0,0.3925,0,1.1775,6,4.887580438
21500348,201936,1610612740,9,9.462885628390822,20,21.092964864573855,22,19.97907764
21600004,201586,1610612753,0,1.1646422793079663,0,2.626227790056981,14,16.84372818
21500532,2561,1610612759,4,4.136870484072216,8,8.540407634811098,14,8.325062463
21600755,202734,1610612740,1,0.6353467561521253,3,1.9060402684563758,2,2.002986136
21501007,202699,1610612765,5,2.8382181891729985,10,5.676436378345997,14,13.60141081
21600683,1627835,1610612741,0,0.396078431372549,0,0.792156862745098,0,3.525304753
21600431,201188,1610612763,4,5.503643164779852,10,13.371337736079715,30,16.40561533
21601106,2743,1610612737,2,0.8612330669068258,4,1.7224661338136515,0,2.999979671
21600457,2733,1610612744,3,2.6852465874310436,7,6.540714113672502,0,1.901663202
21500396,202708,1610612740,1,0.7899868842589606,2,1.5799737685179212,4,5.488775707
21500458,201579,1610612747,1,2.447586591831796,2,5.830564002522152,8,6.656028264
