GAME_ID,TEAM_ID,PLAYER_ID,Actual Assists,Expected Assists,Actual Points from Assists,Expected Points from Assists
41600101,1610612741,1627835,0,1.1694003587403219,0,2.9817859818813433
41600101,1610612738,202340,2,3.281789078702703,5,7.163029023177515
41600101,1610612741,1626245,0,0.5,0,1.5
41600101,1610612738,203109,0,0.9016917293233083,0,2.705075187969925
41600101,1610612738,203482,3,1.454041051375605,8,3.8416553178695048
41600101,1610612738,101161,0,0.3579638752052545,0,1.0738916256157636
41600101,1610612741,202703,0,0.3709677419354838,0,1.1129032258064515
41600101,1610612738,202738,5,5.189025874590575,14,13.47681155845453
41600101,1610612738,101123,1,0.30568356374807987,3,0.9170506912442395
41600101,1610612741,2548,6,4.200626524335884,14,9.517861612182985
41600101,1610612738,201973,1,0.3192982456140351,3,0.9578947368421052
41600101,1610612741,202710,3,2.4651342777565426,8,5.647051219227101
41600101,1610612738,201143,6,5.806881500227031,14,14.552599280831254
41600101,1610612738,203092,0,0.3770700636942676,0,1.1312101910828027
41600101,1610612741,1626170,4,2.858279844537058,9,7.4415444115461655
41600101,1610612741,1626171,2,0.9502684788992364,5,2.2387364711804683
41600101,1610612741,200765,6,5.725307032931263,13,13.220999988517116
41600101,1610612738,203935,4,5.364439085727925,9,12.135454729414485
41600102,1610612738,1626179,2,0.7321069083621243,6,2.196320725086373
41600102,1610612738,202340,3,2.824327377254747,6,6.457629957493914
41600102,1610612738,203109,3,2.5197241054696184,7,5.345941717432743
41600102,1610612738,101161,0,0.4268104776579353,0,0.8536209553158706
41600102,1610612741,202703,0,1.044001011340749,0,2.7532151552343676
41600102,1610612741,201577,1,0.3,3,0.8999999999999999
41600102,1610612738,1627759,1,0.6378205128205128,2,1.2756410256410255
41600102,1610612738,202738,2,4.676672402710468,4,12.251266689897939
41600102,1610612741,2548,2,2.6469529240118237,4,5.928198533379422
41600102,1610612741,202710,8,5.10719095292305,19,11.67240679519115
41600102,1610612738,201143,4,3.4542541541950564,11,9.439669091238056
41600102,1610612738,203482,7,5.012126065973664,15,11.00610259775188
41600102,1610612741,1627835,1,0.6827090592334495,2,1.6660133565621371
41600102,1610612741,200765,13,11.182428565666303,30,26.356704979745388
41600102,1610612738,203935,2,1.7861661107562745,5,4.240860414630907
41600103,1610612741,1626245,0,0.8292858527400104,0,1.9869299144352448
41600103,1610612738,101123,0,1.0680708679909923,0,2.460379296174601
41600103,1610612738,202340,6,4.6740286131225925,13,10.057750999868524
41600103,1610612738,203109,3,1.4874284485951987,8,3.7139650770285977
41600103,1610612741,201577,0,0.8538719855758395,0,2.016060401171963
41600103,1610612741,203530,2,0.9494949494949495,5,2.3535353535353534
41600103,1610612741,1627756,1,1.0716503012103682,3,2.797475175475765
41600103,1610612741,202703,3,1.468375276252941,6,2.936750552505882
41600103,1610612741,1626171,1,0.47150259067357514,2,0.9430051813471503
41600103,1610612738,202738,9,8.147817411365901,20,17.528649723843493
41600103,1610612738,1626179,0,1.4073544649810192,0,3.8178080757941215
41600103,1610612741,2548,3,4.1486350397909755,7,9.607169527608068
41600103,1610612738,201973,0,0.28205128205128205,0,0.8461538461538461
41600103,1610612741,202710,0,2.3469268889951214,0,6.016360209147056
41600103,1610612738,201143,6,5.136915247164707,17,13.84730341158455
41600103,1610612738,203482,2,1.9499018818970046,6,4.582305077509195
41600103,1610612741,1627835,1,0.8417283950617284,2,2.0785185185185187
41600103,1610612741,203487,2,1.1080789392537773,6,2.9625346901017573
41600103,1610612738,203935,5,3.0569889838117814,14,8.548901223735813
41600104,1610612741,203477,1,1.8071420734358103,2,3.959284146871621
41600104,1610612738,1626179,0,0.38095238095238093,0,1.1428571428571428
41600104,1610612741,1626171,1,0.6793893129770993,2,1.3587786259541985
41600104,1610612738,202340,2,1.4140500525620356,6,4.242150157686107
41600104,1610612738,203109,1,1.6048316730313275,3,3.5716906992404507
41600104,1610612741,201577,0,0.9664554905782976,0,2.8993664717348926
41600104,1610612741,203530,1,0.384,2,0.768
41600104,1610612741,202703,1,1.639993532117509,2,3.6646024488504025
41600104,1610612738,202738,6,6.759822385244726,14,15.377118654912257
41600104,1610612738,101123,1,0.7465131143424567,2,1.8803844134499053
41600104,1610612741,2548,2,2.7496361653830834,5,6.569303232991355
41600104,1610612738,201973,2,1.2739417848113501,5,3.280762552501683
41600104,1610612741,202710,9,8.292376181197241,21,20.60372359840454
41600104,1610612738,201143,4,4.802703914749818,9,12.351246662300035
41600104,1610612741,1626170,1,0.7521008403361344,2,1.504201680672269
41600104,1610612738,203935,5,4.501970024463826,13,12.165373365401019
41600104,1610612738,203482,0,0.5588235294117647,0,1.1176470588235294
41600104,1610612741,203487,1,0.9396089064771049,2,2.2408339745703714
41600105,1610612741,1626245,2,0.6227606052167456,5,1.570036201615149
41600105,1610612741,203477,0,0.7254850010303512,0,1.7445023403691602
41600105,1610612741,201627,2,0.7585674931129476,4,1.5171349862258952
41600105,1610612738,202340,1,0.6789413118527042,2,1.3578826237054085
41600105,1610612738,203109,2,1.7262521336720056,5,4.587282155900564
41600105,1610612741,201577,2,1.7395159544379268,6,5.218547863313781
41600105,1610612741,202703,2,2.1045391650636156,4,4.209078330127231
41600105,1610612738,202738,5,5.6817504064713535,12,14.71681059990526
41600105,1610612738,1626179,2,1.4723917235609045,4,3.294259886912385
41600105,1610612741,2548,8,5.107361620872233,18,12.026959392400565
41600105,1610612738,201973,1,0.3918918918918919,2,0.7837837837837838
41600105,1610612741,202710,6,4.832501020100635,15,12.316594507813113
41600105,1610612738,201143,7,5.627056190196797,16,13.615587064494786
